Região,Ocupação,Valor,Ano
Brasil,Estuda e está ocupado,"10,844588357558711",2021-01-01
Brasil,Não estuda e não está ocupado,"25,797398434844713",2021-01-01
Brasil,Só estuda,"26,6210124706336",2021-01-01
Brasil,Só está ocupado,"36,737000736964895",2021-01-01
Nordeste,Estuda e está ocupado,"8,52798229469463",2021-01-01
Nordeste,Não estuda e não está ocupado,"33,012120970754104",2021-01-01
Nordeste,Só estuda,"29,308469319218243",2021-01-01
Nordeste,Só está ocupado,"29,151427415332243",2021-01-01
Sergipe,Estuda e está ocupado,"7,825615709242955",2021-01-01
Sergipe,Não estuda e não está ocupado,"32,967300950609875",2021-01-01
Sergipe,Só estuda,"26,50874503070254",2021-01-01
Sergipe,Só está ocupado,"32,69833830944476",2021-01-01
Brasil,Estuda e está ocupado,"10,147999753471353",2020-01-01
Brasil,Não estuda e não está ocupado,"28,020622373325505",2020-01-01
Brasil,Só estuda,"26,718910751059315",2020-01-01
Brasil,Só está ocupado,"35,11246712214411",2020-01-01
Nordeste,Estuda e está ocupado,"7,361090535371382",2020-01-01
Nordeste,Não estuda e não está ocupado,"35,34590900444826",2020-01-01
Nordeste,Só estuda,"29,850213780086513",2020-01-01
Nordeste,Só está ocupado,"27,44278668009457",2020-01-01
Sergipe,Estuda e está ocupado,"6,617084314546272",2020-01-01
Sergipe,Não estuda e não está ocupado,"32,40384820561173",2020-01-01
Sergipe,Só estuda,"29,626167216971496",2020-01-01
Sergipe,Só está ocupado,"31,352900262870797",2020-01-01
Brasil,Estuda e está ocupado,"11,894407097291579",2019-01-01
Brasil,Não estuda e não está ocupado,"24,144695234878732",2019-01-01
Brasil,Só estuda,"23,762051967644403",2019-01-01
Brasil,Só está ocupado,"40,19884570018343",2019-01-01
Nordeste,Estuda e está ocupado,"8,84939600913229",2019-01-01
Nordeste,Não estuda e não está ocupado,"30,866018160451024",2019-01-01
Nordeste,Só estuda,"27,046017168076144",2019-01-01
Nordeste,Só está ocupado,"33,23856866234139",2019-01-01
Sergipe,Estuda e está ocupado,"8,97844527129217",2019-01-01
Sergipe,Não estuda e não está ocupado,"27,539109492687594",2019-01-01
Sergipe,Só estuda,"26,09824277068888",2019-01-01
Sergipe,Só está ocupado,"37,38420246533146",2019-01-01
Brasil,Estuda e está ocupado,"11,640630752275436",2018-01-01
Brasil,Não estuda e não está ocupado,"24,69817121127956",2018-01-01
Brasil,Só estuda,"24,268681237491244",2018-01-01
Brasil,Só está ocupado,"39,39251679895437",2018-01-01
Nordeste,Estuda e está ocupado,"8,769780880941983",2018-01-01
Nordeste,Não estuda e não está ocupado,"31,63840242405266",2018-01-01
Nordeste,Só estuda,"27,01310342338916",2018-01-01
Nordeste,Só está ocupado,"32,57871327161538",2018-01-01
Sergipe,Estuda e está ocupado,"8,01773407447082",2018-01-01
Sergipe,Não estuda e não está ocupado,"31,303582296017524",2018-01-01
Sergipe,Só estuda,"28,408661375293082",2018-01-01
Sergipe,Só está ocupado,"32,27002225421842",2018-01-01
Brasil,Estuda e está ocupado,"11,370148762768318",2017-01-01
Brasil,Não estuda e não está ocupado,"24,77573387567083",2017-01-01
Brasil,Só estuda,"24,434104072064894",2017-01-01
Brasil,Só está ocupado,"39,420013289496765",2017-01-01
Nordeste,Estuda e está ocupado,"8,749251267549932",2017-01-01
Nordeste,Não estuda e não está ocupado,"31,2073413673545",2017-01-01
Nordeste,Só estuda,"26,47258236007011",2017-01-01
Nordeste,Só está ocupado,"33,57082500502462",2017-01-01
Sergipe,Estuda e está ocupado,"9,678321003268797",2017-01-01
Sergipe,Não estuda e não está ocupado,"30,643261727762297",2017-01-01
Sergipe,Só estuda,"24,634034290991057",2017-01-01
Sergipe,Só está ocupado,"35,04438297797804",2017-01-01
Brasil,Estuda e está ocupado,"11,241633520538796",2016-01-01
Brasil,Não estuda e não está ocupado,"24,63810113701991",2016-01-01
Brasil,Só estuda,"24,67566725589198",2016-01-01
Brasil,Só está ocupado,"39,444598086548595",2016-01-01
Nordeste,Estuda e está ocupado,"8,73188231440566",2016-01-01
Nordeste,Não estuda e não está ocupado,"30,64892432021039",2016-01-01
Nordeste,Só estuda,"27,09237746882114",2016-01-01
Nordeste,Só está ocupado,"33,52681589656263",2016-01-01
Sergipe,Estuda e está ocupado,"9,108069622139048",2016-01-01
Sergipe,Não estuda e não está ocupado,"27,704103608913968",2016-01-01
Sergipe,Só estuda,"25,77501322845462",2016-01-01
Sergipe,Só está ocupado,"37,412813540492834",2016-01-01
Brasil,Estuda e está ocupado,"12,219732579528268",2015-01-01
Brasil,Não estuda e não está ocupado,"22,902203773525226",2015-01-01
Brasil,Só estuda,"22,879800669238012",2015-01-01
Brasil,Só está ocupado,"41,998262977708265",2015-01-01
Nordeste,Estuda e está ocupado,"10,623824033840934",2015-01-01
Nordeste,Não estuda e não está ocupado,"27,44871408711833",2015-01-01
Nordeste,Só estuda,"24,20504341046184",2015-01-01
Nordeste,Só está ocupado,"37,722418468578816",2015-01-01
Sergipe,Estuda e está ocupado,"10,884775323076862",2015-01-01
Sergipe,Não estuda e não está ocupado,"25,48512682232793",2015-01-01
Sergipe,Só estuda,"25,643314883268935",2015-01-01
Sergipe,Só está ocupado,"37,98678297132652",2015-01-01
Brasil,Estuda e está ocupado,"12,307365368081827",2014-01-01
Brasil,Não estuda e não está ocupado,"21,6993113342663",2014-01-01
Brasil,Só estuda,"22,52400292324811",2014-01-01
Brasil,Só está ocupado,"43,46932037440667",2014-01-01
Nordeste,Estuda e está ocupado,"10,514771702166778",2014-01-01
Nordeste,Não estuda e não está ocupado,"26,53475766157602",2014-01-01
Nordeste,Só estuda,"23,99979016606179",2014-01-01
Nordeste,Só está ocupado,"38,950680470195316",2014-01-01
Sergipe,Estuda e está ocupado,"11,74810123988309",2014-01-01
Sergipe,Não estuda e não está ocupado,"23,598926232616357",2014-01-01
Sergipe,Só estuda,"24,878493916504908",2014-01-01
Sergipe,Só está ocupado,"39,77447861099596",2014-01-01
Brasil,Estuda e está ocupado,"12,533821042231818",2013-01-01
Brasil,Não estuda e não está ocupado,"21,615717173232536",2013-01-01
Brasil,Só estuda,"21,957283220036313",2013-01-01
Brasil,Só está ocupado,"43,893178564497994",2013-01-01
Nordeste,Estuda e está ocupado,"10,829754259586007",2013-01-01
Nordeste,Não estuda e não está ocupado,"27,265296569044565",2013-01-01
Nordeste,Só estuda,"24,223531639343815",2013-01-01
Nordeste,Só está ocupado,"37,681417532026124",2013-01-01
Sergipe,Estuda e está ocupado,"12,012312792250674",2013-01-01
Sergipe,Não estuda e não está ocupado,"24,46965655933733",2013-01-01
Sergipe,Só estuda,"26,609715927657998",2013-01-01
Sergipe,Só está ocupado,"36,90831472075404",2013-01-01
Brasil,Estuda e está ocupado,"12,998537216988757",2012-01-01
Brasil,Não estuda e não está ocupado,"21,8044066491117",2012-01-01
Brasil,Só estuda,"21,526479518453034",2012-01-01
Brasil,Só está ocupado,"43,67057661544661",2012-01-01
Nordeste,Estuda e está ocupado,"11,051118936622375",2012-01-01
Nordeste,Não estuda e não está ocupado,"26,952892491247695",2012-01-01
Nordeste,Só estuda,"24,034774466098533",2012-01-01
Nordeste,Só está ocupado,"37,961214106030376",2012-01-01
Sergipe,Estuda e está ocupado,"11,964393458849509",2012-01-01
Sergipe,Não estuda e não está ocupado,"24,17739343890454",2012-01-01
Sergipe,Só estuda,"25,60534787983632",2012-01-01
Sergipe,Só está ocupado,"38,2528652224094",2012-01-01
