Região,Setor,Atividade,Ano,Valor
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2010-01-01,"3,0310581196787876"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2010-01-01,"1,358315873611814"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2010-01-01,"0,45288297344104567"
Brasil,Indústria,Indústrias extrativas,2010-01-01,"3,3294074190696397"
Brasil,Indústria,Indústrias de transformação,2010-01-01,"14,96748253018621"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2010-01-01,"2,8131547395574654"
Brasil,Indústria,Construção,2010-01-01,"6,265123348391076"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2010-01-01,"12,60215450945247"
Brasil,Serviços,"Transporte, armazenagem e correio",2010-01-01,"4,289036102263516"
Brasil,Serviços,Alojamento e alimentação,2010-01-01,"2,1255646655605367"
Brasil,Serviços,Informação e comunicação,2010-01-01,"3,831308813021528"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2010-01-01,"6,7990275036029555"
Brasil,Serviços,Atividades imobiliárias,2010-01-01,"8,308607138099301"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2010-01-01,"7,439597437356951"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2010-01-01,"16,284318949752326"
Brasil,Serviços,Educação e saúde privadas,2010-01-01,"2,997844279468579"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2010-01-01,"1,8839241380145626"
Brasil,Serviços,Serviços domésticos,2010-01-01,"1,2211914594712423"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2011-01-01,"3,343671657894021"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2011-01-01,"1,2994357419685352"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2011-01-01,"0,4644316927391416"
Brasil,Indústria,Indústrias extrativas,2011-01-01,"4,369539151196586"
Brasil,Indústria,Indústrias de transformação,2011-01-01,"13,861292995679872"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2011-01-01,"2,6668469310658134"
Brasil,Indústria,Construção,2011-01-01,"6,277286605073934"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2011-01-01,"12,854374766997967"
Brasil,Serviços,"Transporte, armazenagem e correio",2011-01-01,"4,449905535899962"
Brasil,Serviços,Alojamento e alimentação,2011-01-01,"2,213542891593279"
Brasil,Serviços,Informação e comunicação,2011-01-01,"3,6825006363458463"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2011-01-01,"6,435385292306517"
Brasil,Serviços,Atividades imobiliárias,2011-01-01,"8,3693929327575"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2011-01-01,"7,624431488463398"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2011-01-01,"16,074862765662637"
Brasil,Serviços,Educação e saúde privadas,2011-01-01,"3,0249745932022933"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2011-01-01,"1,793809960647356"
Brasil,Serviços,Serviços domésticos,2011-01-01,"1,1943143605053241"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2012-01-01,"3,1742007528102287"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2012-01-01,"1,244010210394603"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2012-01-01,"0,4836528416985916"
Brasil,Indústria,Indústrias extrativas,2012-01-01,"4,5476116679477325"
Brasil,Indústria,Indústrias de transformação,2012-01-01,"12,55467717113155"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2012-01-01,"2,4481353036043885"
Brasil,Indústria,Construção,2012-01-01,"6,478266274800901"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2012-01-01,"13,392875243114801"
Brasil,Serviços,"Transporte, armazenagem e correio",2012-01-01,"4,471212006861308"
Brasil,Serviços,Alojamento e alimentação,2012-01-01,"2,3015642146723"
Brasil,Serviços,Informação e comunicação,2012-01-01,"3,625833148318163"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2012-01-01,"6,357975887700314"
Brasil,Serviços,Atividades imobiliárias,2012-01-01,"8,76708092966274"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2012-01-01,"7,862643765330934"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2012-01-01,"15,927204409882222"
Brasil,Serviços,Educação e saúde privadas,2012-01-01,"3,3721120232012702"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2012-01-01,"1,8340803549555567"
Brasil,Serviços,Serviços domésticos,2012-01-01,"1,1568637939124025"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2013-01-01,"3,4501818277643004"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2013-01-01,"1,3493464741224925"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2013-01-01,"0,4772100418116141"
Brasil,Indústria,Indústrias extrativas,2013-01-01,"4,159946944942203"
Brasil,Indústria,Indústrias de transformação,2013-01-01,"12,269706791750135"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2013-01-01,"2,0382716700045647"
Brasil,Indústria,Construção,2013-01-01,"6,382440005621738"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2013-01-01,"13,485273707880992"
Brasil,Serviços,"Transporte, armazenagem e correio",2013-01-01,"4,467099715400005"
Brasil,Serviços,Alojamento e alimentação,2013-01-01,"2,373137802607079"
Brasil,Serviços,Informação e comunicação,2013-01-01,"3,4588779382312445"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2013-01-01,"5,985625065879628"
Brasil,Serviços,Atividades imobiliárias,2013-01-01,"9,205623484768656"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2013-01-01,"7,998028003232458"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2013-01-01,"16,386173184357506"
Brasil,Serviços,Educação e saúde privadas,2013-01-01,"3,5313455254558894"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2013-01-01,"1,8034327676469553"
Brasil,Serviços,Serviços domésticos,2013-01-01,"1,1782790485225405"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2014-01-01,"3,199668431892817"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2014-01-01,"1,3509268744316432"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2014-01-01,"0,4763174543420124"
Brasil,Indústria,Indústrias extrativas,2014-01-01,"3,716205210252546"
Brasil,Indústria,Indústrias de transformação,2014-01-01,"12,013029452208748"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2014-01-01,"1,8898054872832637"
Brasil,Indústria,Construção,2014-01-01,"6,172580314973614"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2014-01-01,"13,605433148042959"
Brasil,Serviços,"Transporte, armazenagem e correio",2014-01-01,"4,580116290153476"
Brasil,Serviços,Alojamento e alimentação,2014-01-01,"2,512340294091735"
Brasil,Serviços,Informação e comunicação,2014-01-01,"3,3906901113150054"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2014-01-01,"6,408547088985656"
Brasil,Serviços,Atividades imobiliárias,2014-01-01,"9,326479156134209"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2014-01-01,"8,079881208204586"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2014-01-01,"16,42573280613843"
Brasil,Serviços,Educação e saúde privadas,2014-01-01,"3,8457918722376907"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2014-01-01,"1,8367964182278806"
Brasil,Serviços,Serviços domésticos,2014-01-01,"1,1696583810837256"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2015-01-01,"3,1640734028874538"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2015-01-01,"1,3858520083303574"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2015-01-01,"0,4730971229154445"
Brasil,Indústria,Indústrias extrativas,2015-01-01,"2,1485952850113885"
Brasil,Indústria,Indústrias de transformação,2015-01-01,"12,235489131141074"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2015-01-01,"2,3893043701403767"
Brasil,Indústria,Construção,2015-01-01,"5,741677837365609"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2015-01-01,"13,300253452507269"
Brasil,Serviços,"Transporte, armazenagem e correio",2015-01-01,"4,393280240266866"
Brasil,Serviços,Alojamento e alimentação,2015-01-01,"2,3785781715846626"
Brasil,Serviços,Informação e comunicação,2015-01-01,"3,4138405978274755"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2015-01-01,"7,085032375468929"
Brasil,Serviços,Atividades imobiliárias,2015-01-01,"9,676544014946058"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2015-01-01,"8,013672896719516"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2015-01-01,"17,177182640782316"
Brasil,Serviços,Educação e saúde privadas,2015-01-01,"4,072056778637445"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2015-01-01,"1,748971652383486"
Brasil,Serviços,Serviços domésticos,2015-01-01,"1,202498021084254"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2016-01-01,"3,757503475206373"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2016-01-01,"1,4345120559309943"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2016-01-01,"0,46601161440356814"
Brasil,Indústria,Indústrias extrativas,2016-01-01,"1,0254026792761852"
Brasil,Indústria,Indústrias de transformação,2016-01-01,"12,47712563253924"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2016-01-01,"2,651747603519085"
Brasil,Indústria,Construção,2016-01-01,"5,077417671650443"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2016-01-01,"12,911254281044648"
Brasil,Serviços,"Transporte, armazenagem e correio",2016-01-01,"4,353999079674602"
Brasil,Serviços,Alojamento e alimentação,2016-01-01,"2,35854609247315"
Brasil,Serviços,Informação e comunicação,2016-01-01,"3,3032450143196512"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2016-01-01,"7,851401761902875"
Brasil,Serviços,Atividades imobiliárias,2016-01-01,"9,723677272058"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2016-01-01,"8,029654848443355"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2016-01-01,"17,438229521190905"
Brasil,Serviços,Educação e saúde privadas,2016-01-01,"4,165764115500471"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2016-01-01,"1,7147242104999196"
Brasil,Serviços,Serviços domésticos,2016-01-01,"1,2597830703665165"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2017-01-01,"3,527955054420659"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2017-01-01,"1,3291076082445272"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2017-01-01,"0,4845267727399868"
Brasil,Indústria,Indústrias extrativas,2017-01-01,"1,5990335557974438"
Brasil,Indústria,Indústrias de transformação,2017-01-01,"12,448364100660008"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2017-01-01,"2,7546551206768246"
Brasil,Indústria,Construção,2017-01-01,"4,31599424957237"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2017-01-01,"13,15530209667755"
Brasil,Serviços,"Transporte, armazenagem e correio",2017-01-01,"4,338473386288906"
Brasil,Serviços,Alojamento e alimentação,2017-01-01,"2,42517268384671"
Brasil,Serviços,Informação e comunicação,2017-01-01,"3,4293289439953867"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2017-01-01,"7,5717313660298124"
Brasil,Serviços,Atividades imobiliárias,2017-01-01,"9,83888012643324"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2017-01-01,"7,813130848322067"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2017-01-01,"17,647885392016757"
Brasil,Serviços,Educação e saúde privadas,2017-01-01,"4,3106874102377235"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2017-01-01,"1,7499170475778407"
Brasil,Serviços,Serviços domésticos,2017-01-01,"1,259854236462183"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2018-01-01,"3,4853730151468643"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2018-01-01,"1,1926503248130629"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2018-01-01,"0,4725884398160105"
Brasil,Indústria,Indústrias extrativas,2018-01-01,"2,679503921878507"
Brasil,Indústria,Indústrias de transformação,2018-01-01,"12,26766924798081"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2018-01-01,"2,8519168545120497"
Brasil,Indústria,Construção,2018-01-01,"4,047145720868723"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2018-01-01,"13,026575613651275"
Brasil,Serviços,"Transporte, armazenagem e correio",2018-01-01,"4,402884639378499"
Brasil,Serviços,Alojamento e alimentação,2018-01-01,"2,4177237300682846"
Brasil,Serviços,Informação e comunicação,2018-01-01,"3,428512015171813"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2018-01-01,"7,031300167189301"
Brasil,Serviços,Atividades imobiliárias,2018-01-01,"9,782421000973184"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2018-01-01,"7,928815617643897"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2018-01-01,"17,390765494123407"
Brasil,Serviços,Educação e saúde privadas,2018-01-01,"4,535937383029868"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2018-01-01,"1,8196684494647464"
Brasil,Serviços,Serviços domésticos,2018-01-01,"1,2385483642896935"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2019-01-01,"3,2412654144834048"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2019-01-01,"1,212770683582838"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2019-01-01,"0,4339526709208728"
Brasil,Indústria,Indústrias extrativas,2019-01-01,"2,875980621342821"
Brasil,Indústria,Indústrias de transformação,2019-01-01,"12,0106961428317"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2019-01-01,"3,0025403181910706"
Brasil,Indústria,Construção,2019-01-01,"3,911520534920394"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2019-01-01,"12,94055202366518"
Brasil,Serviços,"Transporte, armazenagem e correio",2019-01-01,"4,4751477342589485"
Brasil,Serviços,Alojamento e alimentação,2019-01-01,"2,4885459148197437"
Brasil,Serviços,Informação e comunicação,2019-01-01,"3,443241790845667"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2019-01-01,"7,241070973482394"
Brasil,Serviços,Atividades imobiliárias,2019-01-01,"9,746968702549932"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2019-01-01,"8,002474246006246"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2019-01-01,"17,400440229528456"
Brasil,Serviços,Educação e saúde privadas,2019-01-01,"4,503086829548232"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2019-01-01,"1,8873991533950696"
Brasil,Serviços,Serviços domésticos,2019-01-01,"1,1823460156270145"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2020-01-01,"4,599877148182018"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2020-01-01,"1,5162085703017096"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2020-01-01,"0,4741364473989659"
Brasil,Indústria,Indústrias extrativas,2020-01-01,"2,9358127302808237"
Brasil,Indústria,Indústrias de transformação,2020-01-01,"12,33808601962381"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2020-01-01,"3,170796021250841"
Brasil,Indústria,Construção,2020-01-01,"4,062525540425936"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2020-01-01,"12,514842825640343"
Brasil,Serviços,"Transporte, armazenagem e correio",2020-01-01,"4,143163156827753"
Brasil,Serviços,Alojamento e alimentação,2020-01-01,"1,781139076840314"
Brasil,Serviços,Informação e comunicação,2020-01-01,"3,6023695146746624"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2020-01-01,"6,892408524903271"
Brasil,Serviços,Atividades imobiliárias,2020-01-01,"9,947221633807903"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2020-01-01,"7,942987173342217"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2020-01-01,"17,390613435731073"
Brasil,Serviços,Educação e saúde privadas,2020-01-01,"4,173064882954909"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2020-01-01,"1,6129342858013647"
Brasil,Serviços,Serviços domésticos,2020-01-01,"0,9018130120120933"
Nordeste,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2010-01-01,"4,360860036223361"
