Região,Setor,Atividade,Ano,Valor
Nordeste,Serviços,Serviços domésticos,2020-01-01,"0,933386652364707"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2010-01-01,"5,020063200129881"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2010-01-01,"1,213102310362816"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2010-01-01,"0,14917849192130186"
Sergipe,Indústria,Indústrias extrativas,2010-01-01,"6,599205835378215"
Sergipe,Indústria,Indústrias de transformação,2010-01-01,"6,230744579681633"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2010-01-01,"8,521318299743886"
Sergipe,Indústria,Construção,2010-01-01,"7,604025635827126"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2010-01-01,"10,906046377356345"
Sergipe,Serviços,"Transporte, armazenagem e correio",2010-01-01,"3,216315782585656"
Sergipe,Serviços,Alojamento e alimentação,2010-01-01,"2,029027790141942"
Sergipe,Serviços,Informação e comunicação,2010-01-01,"1,1821962738265532"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2010-01-01,"2,4832005048315784"
Sergipe,Serviços,Atividades imobiliárias,2010-01-01,"7,547937989758313"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2010-01-01,"4,560686677676894"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2010-01-01,"26,645951709609555"
Sergipe,Serviços,Educação e saúde privadas,2010-01-01,"3,3944152622513575"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2010-01-01,"1,611246151671415"
Sergipe,Serviços,Serviços domésticos,2010-01-01,"1,0853371272455141"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2011-01-01,"3,854901078302411"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2011-01-01,"1,1389041737547076"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2011-01-01,"0,22731741351968543"
Sergipe,Indústria,Indústrias extrativas,2011-01-01,"7,5248116644755125"
Sergipe,Indústria,Indústrias de transformação,2011-01-01,"6,7000956309903215"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2011-01-01,"7,595747956559584"
Sergipe,Indústria,Construção,2011-01-01,"7,87803457897097"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2011-01-01,"11,137515320228214"
Sergipe,Serviços,"Transporte, armazenagem e correio",2011-01-01,"3,359877278438192"
Sergipe,Serviços,Alojamento e alimentação,2011-01-01,"2,2200240834510745"
Sergipe,Serviços,Informação e comunicação,2011-01-01,"1,132934297252483"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2011-01-01,"2,542920915169383"
Sergipe,Serviços,Atividades imobiliárias,2011-01-01,"7,4679673592739695"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2011-01-01,"4,835221810065334"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2011-01-01,"26,10917181419181"
Sergipe,Serviços,Educação e saúde privadas,2011-01-01,"3,6389845995291146"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2011-01-01,"1,5477051981662309"
Sergipe,Serviços,Serviços domésticos,2011-01-01,"1,0878648276609915"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2012-01-01,"3,768334374324702"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2012-01-01,"1,1116279559084987"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2012-01-01,"0,21713558343445655"
Sergipe,Indústria,Indústrias extrativas,2012-01-01,"8,095256216718386"
Sergipe,Indústria,Indústrias de transformação,2012-01-01,"5,892582474283447"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2012-01-01,"7,721438975490664"
Sergipe,Indústria,Construção,2012-01-01,"8,799171143002637"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2012-01-01,"11,919094101761294"
Sergipe,Serviços,"Transporte, armazenagem e correio",2012-01-01,"2,858183383884244"
Sergipe,Serviços,Alojamento e alimentação,2012-01-01,"2,206118595215357"
Sergipe,Serviços,Informação e comunicação,2012-01-01,"0,9482783438475865"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2012-01-01,"2,456612226143883"
Sergipe,Serviços,Atividades imobiliárias,2012-01-01,"7,698229941566534"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2012-01-01,"5,114749793155126"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2012-01-01,"24,80454697016024"
Sergipe,Serviços,Educação e saúde privadas,2012-01-01,"4,134053377122688"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2012-01-01,"1,379142341245729"
Sergipe,Serviços,Serviços domésticos,2012-01-01,"0,8754442027345162"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2013-01-01,"4,171484617525588"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2013-01-01,"1,330154592226171"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2013-01-01,"0,18472248389203672"
Sergipe,Indústria,Indústrias extrativas,2013-01-01,"7,607836205761832"
Sergipe,Indústria,Indústrias de transformação,2013-01-01,"6,9367787182595935"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2013-01-01,"2,734317110849835"
Sergipe,Indústria,Construção,2013-01-01,"8,27258455151332"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2013-01-01,"12,383712784582025"
Sergipe,Serviços,"Transporte, armazenagem e correio",2013-01-01,"3,232124743255618"
Sergipe,Serviços,Alojamento e alimentação,2013-01-01,"2,2422601613111346"
Sergipe,Serviços,Informação e comunicação,2013-01-01,"1,0455335860231698"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2013-01-01,"2,5065290830108893"
Sergipe,Serviços,Atividades imobiliárias,2013-01-01,"8,865816252130898"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2013-01-01,"5,1564632912749575"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2013-01-01,"25,962912502007008"
Sergipe,Serviços,Educação e saúde privadas,2013-01-01,"4,975194142448269"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2013-01-01,"1,163938849070534"
Sergipe,Serviços,Serviços domésticos,2013-01-01,"1,2276363248571205"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2014-01-01,"3,737978615532527"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2014-01-01,"1,2950421200927122"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2014-01-01,"0,20037547821038212"
Sergipe,Indústria,Indústrias extrativas,2014-01-01,"7,121891468735919"
Sergipe,Indústria,Indústrias de transformação,2014-01-01,"6,773858914360237"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2014-01-01,"3,3259595461029203"
Sergipe,Indústria,Construção,2014-01-01,"7,426732932755682"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2014-01-01,"11,889127066528602"
Sergipe,Serviços,"Transporte, armazenagem e correio",2014-01-01,"2,891915178394803"
Sergipe,Serviços,Alojamento e alimentação,2014-01-01,"2,350424001574964"
Sergipe,Serviços,Informação e comunicação,2014-01-01,"1,5184416798444396"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2014-01-01,"3,040451200598143"
Sergipe,Serviços,Atividades imobiliárias,2014-01-01,"8,242360407246203"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2014-01-01,"5,71939605037991"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2014-01-01,"26,91930412825489"
Sergipe,Serviços,Educação e saúde privadas,2014-01-01,"5,106781951917097"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2014-01-01,"1,2793765889371236"
Sergipe,Serviços,Serviços domésticos,2014-01-01,"1,1605826705334559"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2015-01-01,"3,573282551106743"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2015-01-01,"1,3306029360941494"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2015-01-01,"0,11671851397204251"
Sergipe,Indústria,Indústrias extrativas,2015-01-01,"3,136989225731996"
Sergipe,Indústria,Indústrias de transformação,2015-01-01,"7,326593271557402"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2015-01-01,"4,737055420180142"
Sergipe,Indústria,Construção,2015-01-01,"7,545000241500785"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2015-01-01,"11,737434864544946"
Sergipe,Serviços,"Transporte, armazenagem e correio",2015-01-01,"2,741455464544606"
Sergipe,Serviços,Alojamento e alimentação,2015-01-01,"2,608872785565578"
Sergipe,Serviços,Informação e comunicação,2015-01-01,"1,4972441144094428"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2015-01-01,"3,5119561873571383"
Sergipe,Serviços,Atividades imobiliárias,2015-01-01,"8,779765641250476"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2015-01-01,"5,549623975801685"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2015-01-01,"27,75709951444039"
Sergipe,Serviços,Educação e saúde privadas,2015-01-01,"5,263696305640968"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2015-01-01,"1,4372071055569346"
Sergipe,Serviços,Serviços domésticos,2015-01-01,"1,3494018807445696"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2016-01-01,"3,4987816280758643"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2016-01-01,"1,363165649694435"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2016-01-01,"0,1023561435260745"
Sergipe,Indústria,Indústrias extrativas,2016-01-01,"0,9379323327785349"
Sergipe,Indústria,Indústrias de transformação,2016-01-01,"6,092568461295362"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2016-01-01,"5,203533612502146"
Sergipe,Indústria,Construção,2016-01-01,"7,834153212188362"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2016-01-01,"13,010135769533226"
Sergipe,Serviços,"Transporte, armazenagem e correio",2016-01-01,"2,86583204618469"
Sergipe,Serviços,Alojamento e alimentação,2016-01-01,"2,8045063586910697"
Sergipe,Serviços,Informação e comunicação,2016-01-01,"1,5199850554407353"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2016-01-01,"4,189767169062763"
Sergipe,Serviços,Atividades imobiliárias,2016-01-01,"9,745459324626438"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2016-01-01,"5,704287975543692"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2016-01-01,"28,385282002961194"
Sergipe,Serviços,Educação e saúde privadas,2016-01-01,"3,888469148112928"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2016-01-01,"1,4500575820623598"
Sergipe,Serviços,Serviços domésticos,2016-01-01,"1,4037265277201239"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2017-01-01,"3,9704199727165723"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2017-01-01,"1,2813997589142387"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2017-01-01,"0,14840179022329028"
Sergipe,Indústria,Indústrias extrativas,2017-01-01,"1,157204304284664"
Sergipe,Indústria,Indústrias de transformação,2017-01-01,"6,101349335615218"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2017-01-01,"5,548149593313925"
Sergipe,Indústria,Construção,2017-01-01,"6,330738625538543"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2017-01-01,"11,707068949452195"
Sergipe,Serviços,"Transporte, armazenagem e correio",2017-01-01,"3,2118561052795083"
Sergipe,Serviços,Alojamento e alimentação,2017-01-01,"3,1898821275969658"
Sergipe,Serviços,Informação e comunicação,2017-01-01,"1,5477838989679953"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2017-01-01,"4,54979178911025"
Sergipe,Serviços,Atividades imobiliárias,2017-01-01,"9,735270762111199"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2017-01-01,"5,554482545735736"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2017-01-01,"28,872980888593563"
Sergipe,Serviços,Educação e saúde privadas,2017-01-01,"4,063791033291402"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2017-01-01,"1,4958223886565696"
Sergipe,Serviços,Serviços domésticos,2017-01-01,"1,5336061305981776"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2018-01-01,"2,6025002279952476"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2018-01-01,"1,063645172100253"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2018-01-01,"0,14345620682296945"
Sergipe,Indústria,Indústrias extrativas,2018-01-01,"2,0758877300014276"
Sergipe,Indústria,Indústrias de transformação,2018-01-01,"5,663294383826394"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2018-01-01,"7,325729948993267"
Sergipe,Indústria,Construção,2018-01-01,"4,938976871560196"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2018-01-01,"12,283437187936439"
Sergipe,Serviços,"Transporte, armazenagem e correio",2018-01-01,"2,9133148345894364"
Sergipe,Serviços,Alojamento e alimentação,2018-01-01,"3,25161516041517"
Sergipe,Serviços,Informação e comunicação,2018-01-01,"1,4942838969294778"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2018-01-01,"4,5556932437452256"
Sergipe,Serviços,Atividades imobiliárias,2018-01-01,"10,183544151528945"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2018-01-01,"5,395068293517235"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2018-01-01,"29,06315170049946"
Sergipe,Serviços,Educação e saúde privadas,2018-01-01,"4,0072090692370175"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2018-01-01,"1,5760489841845693"
Sergipe,Serviços,Serviços domésticos,2018-01-01,"1,463142936117271"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2019-01-01,"3,8365712206651907"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2019-01-01,"1,1159515328391518"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2019-01-01,"0,15804203140360254"
Sergipe,Indústria,Indústrias extrativas,2019-01-01,"1,6961362691016206"
Sergipe,Indústria,Indústrias de transformação,2019-01-01,"5,783816936208598"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2019-01-01,"8,385288950813754"
Sergipe,Indústria,Construção,2019-01-01,"3,8562167638934843"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2019-01-01,"11,1352296906768"
Sergipe,Serviços,"Transporte, armazenagem e correio",2019-01-01,"2,7232238485325952"
Sergipe,Serviços,Alojamento e alimentação,2019-01-01,"3,1526481497115397"
Sergipe,Serviços,Informação e comunicação,2019-01-01,"1,373629226547044"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2019-01-01,"4,648039602383902"
Sergipe,Serviços,Atividades imobiliárias,2019-01-01,"9,590009063205974"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2019-01-01,"5,457026490566471"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2019-01-01,"29,668770827612878"
Sergipe,Serviços,Educação e saúde privadas,2019-01-01,"4,314315395562466"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2019-01-01,"1,5801762805498547"
Sergipe,Serviços,Serviços domésticos,2019-01-01,"1,5249077197250598"
Sergipe,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2020-01-01,"4,815974690117882"
Sergipe,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2020-01-01,"1,3868596025858082"
Sergipe,Agropecuária,"Produção florestal, pesca e aquicultura",2020-01-01,"0,14636978053495314"
Sergipe,Indústria,Indústrias extrativas,2020-01-01,"1,0769313308593285"
Sergipe,Indústria,Indústrias de transformação,2020-01-01,"6,0190979747136915"
Sergipe,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2020-01-01,"10,765985247929377"
Sergipe,Indústria,Construção,2020-01-01,"4,027147926206627"
Sergipe,Serviços,Comércio e reparação de veículos automotores e motocicletas,2020-01-01,"11,29892552595872"
Sergipe,Serviços,"Transporte, armazenagem e correio",2020-01-01,"2,3397701051520907"
Sergipe,Serviços,Alojamento e alimentação,2020-01-01,"2,1559255987164567"
Sergipe,Serviços,Informação e comunicação,2020-01-01,"1,2789714299474146"
Sergipe,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2020-01-01,"4,308433060506281"
Sergipe,Serviços,Atividades imobiliárias,2020-01-01,"9,16577252161942"
Sergipe,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2020-01-01,"5,564448598067873"
Sergipe,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2020-01-01,"29,58493825912084"
Sergipe,Serviços,Educação e saúde privadas,2020-01-01,"3,6223863742058904"
Sergipe,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2020-01-01,"1,3560209561716705"
Sergipe,Serviços,Serviços domésticos,2020-01-01,"1,0860410175856758"
