Ano,Região,Série,Rede,Classe,Valor
2005-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,3"
2005-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,5"
2005-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,8"
2005-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,0"
2005-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"2,7"
2005-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,7"
2005-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,9"
2005-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"3,0"
2005-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"2,8"
2005-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"5,3"
2005-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"3,0"
2007-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"2,9"
2007-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,0"
2007-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,6"
2007-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,1"
2007-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"2,8"
2007-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,2"
2007-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,9"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"3,4"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"3,2"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"5,5"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"3,4"
2007-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"3,3"
2007-01-01,Sergipe,Ensino Médio,Privada,Projeção,"5,5"
2007-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"2,9"
2007-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"3,1"
2007-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"2,8"
2007-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"5,7"
2007-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"2,9"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"3,1"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"2,9"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"5,3"
2007-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"3,1"
2009-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,2"
2009-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,0"
2009-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,9"
2009-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,2"
2009-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"2,8"
2009-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,3"
2009-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,7"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"3,8"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"3,4"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"5,7"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"3,7"
2009-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"3,4"
2009-01-01,Sergipe,Ensino Médio,Privada,Projeção,"5,6"
2009-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"3,0"
2009-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"3,2"
2009-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"2,9"
2009-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"5,9"
2009-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"3,0"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"3,4"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"3,2"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"5,6"
2009-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"3,4"
2011-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,2"
2011-01-01,Sergipe,Ensino Médio,Privada,IDEB,"4,8"
2011-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,9"
2011-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,3"
2011-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"2,9"
2011-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,2"
2011-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,9"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"4,1"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"3,6"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,0"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"3,9"
2011-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"3,6"
2011-01-01,Sergipe,Ensino Médio,Privada,Projeção,"5,8"
2011-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"3,1"
2011-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"3,5"
2011-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"3,2"
2011-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"6,1"
2011-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"3,3"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"3,8"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"3,6"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"6,0"
2011-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"3,8"
2013-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,2"
2013-01-01,Sergipe,Ensino Médio,Privada,IDEB,"4,8"
2013-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,8"
2013-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,2"
2013-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"2,8"
2013-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,3"
2013-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,7"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"4,4"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"3,8"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,1"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"4,1"
2013-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"3,8"
2013-01-01,Sergipe,Ensino Médio,Privada,Projeção,"6,0"
2013-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"3,4"
2013-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"3,9"
2013-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"3,6"
2013-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"6,4"
2013-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"3,7"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"4,1"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"3,9"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"6,2"
2013-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"4,1"
2015-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,2"
2015-01-01,Sergipe,Ensino Médio,Privada,IDEB,"4,9"
2015-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"2,6"
2015-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,5"
2015-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"3,1"
2015-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,4"
2015-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"2,9"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"4,6"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"4,1"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,2"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"4,3"
2015-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"4,2"
2015-01-01,Sergipe,Ensino Médio,Privada,Projeção,"6,3"
2015-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"3,7"
2015-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"4,3"
2015-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"4,0"
2015-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"6,7"
2015-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"4,1"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"4,4"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"4,2"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"6,5"
2015-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"4,4"
2017-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,7"
2017-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,5"
2017-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"3,1"
2017-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"3,9"
2017-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"3,4"
2017-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,8"
2017-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"3,5"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"4,9"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"4,3"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,7"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"4,7"
2017-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"4,6"
2017-01-01,Sergipe,Ensino Médio,Privada,Projeção,"6,6"
2017-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"4,2"
2017-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"4,5"
2017-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"4,2"
2017-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"6,9"
2017-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"4,4"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"4,7"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"4,5"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"6,7"
2017-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"4,7"
2019-01-01,Sergipe,Ensino Médio,Total (4),IDEB,"3,7"
2019-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,7"
2019-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"3,3"
2019-01-01,Sergipe,Fundamental - Anos Finais,Total (4),IDEB,"4,1"
2019-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),IDEB,"3,6"
2019-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,9"
2019-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"3,6"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),IDEB,"5,1"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),IDEB,"4,6"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,6"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"5,0"
2019-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"4,9"
2019-01-01,Sergipe,Ensino Médio,Privada,Projeção,"6,8"
2019-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"4,4"
2019-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"4,8"
2019-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"4,5"
2019-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"7,1"
2019-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"4,6"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"5,0"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"4,8"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"6,9"
2019-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"5,0"
2021-01-01,Sergipe,Ensino Médio,Total,IDEB,"4,1"
2021-01-01,Sergipe,Ensino Médio,Privada,IDEB,"5,5"
2021-01-01,Sergipe,Ensino Médio,Estadual,IDEB,"3,9"
2021-01-01,Sergipe,Fundamental - Anos Finais,Total,IDEB,"4,7"
2021-01-01,Sergipe,Fundamental - Anos Finais,Pública,IDEB,"4,4"
2021-01-01,Sergipe,Fundamental - Anos Finais,Privada,IDEB,"5,8"
2021-01-01,Sergipe,Fundamental - Anos Finais,Estadual,IDEB,"4,5"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Total,IDEB,"5,2"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Pública,IDEB,"4,8"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,IDEB,"6,4"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,IDEB,"5,2"
2021-01-01,Sergipe,Ensino Médio,Total (4),Projeção,"5,1"
2021-01-01,Sergipe,Ensino Médio,Privada,Projeção,"7,0"
2021-01-01,Sergipe,Ensino Médio,Estadual,Projeção,"4,7"
2021-01-01,Sergipe,Fundamental - Anos Finais,Total (4),Projeção,"5,1"
2021-01-01,Sergipe,Fundamental - Anos Finais,Pública (4),Projeção,"4,8"
2021-01-01,Sergipe,Fundamental - Anos Finais,Privada,Projeção,"7,3"
2021-01-01,Sergipe,Fundamental - Anos Finais,Estadual,Projeção,"4,9"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Total (4),Projeção,"5,3"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Pública (4),Projeção,"5,1"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Privada,Projeção,"7,1"
2021-01-01,Sergipe,Fundamental - Anos Iniciais,Estadual,Projeção,"5,3"
